lastUpdated,code,level,created,name,id,offlineLevels,code,lastUpdated,id,level,created,name,shortName,description,contactPerson,path,openingDate,email,address,url,phoneNumber,closedDate,geometry,comment,code,created,lastUpdated,name,id,shortName,symbol,color,geometry
2023-12-29T13:31:44.893,,,,,,,,,,6,2023-12-29T13:31:44.871,Agateko,Agateko,,,"/NLsvt0iBEyq/d3sGVyQqwe5/n468PYJ6g8u/g41lTQk2Gbz/gHbxpqgcbz8/f7tGsBlbLb3",2023-01-01T00:00:00.000,,,,,,,,,,,,f7tGsBlbLb3,,,,
2023-12-29T13:18:01.167,,,,,,,,,,5,2023-12-29T13:18:01.151,Agateko,Agateko,,,"/NLsvt0iBEyq/I7LUEXlue90/zeO6GcBuYRF/zUhvPPcD7O2/Oo7awYqiMpu",2023-01-01T00:00:00.000,,,,,,,,,,,,Oo7awYqiMpu,,,,
2023-12-29T13:38:04.040,,,,,,,,,,6,2023-12-29T13:38:03.999,Agateme,Agateme,,,"/NLsvt0iBEyq/d3sGVyQqwe5/CdGmPmTT2JI/pr5VMbh7s9V/ipq3FiHQpX9/dz0vDgfld7S",2023-01-01T00:00:00.000,,,,,,,,,,,,dz0vDgfld7S,,,,
2023-12-29T13:34:47.847,,,,,,,,,,6,2023-12-29T13:34:47.802,Agatenderi,Agatenderi,,,"/NLsvt0iBEyq/d3sGVyQqwe5/CdGmPmTT2JI/AgiziNMidle/GlAp4F7AKuf/WnqjmhIhZiD",2023-01-01T00:00:00.000,,,,,,,,,,,,WnqjmhIhZiD,,,,
2023-12-29T14:39:29.001,,,,,,,,,,6,2023-12-29T14:39:28.950,Agatoma,Agatoma,,,"/NLsvt0iBEyq/qtB5YKGpetQ/eyq3Niz72Ls/mH1gi2lqrQx/ei6HQ6eg7Qm/F6GYi7UugmO",2023-01-01T00:00:00.000,,,,,,,,,,,,F6GYi7UugmO,,,,
2023-12-29T14:53:44.686,,,,,,,,,,6,2023-12-29T14:53:44.597,Agatonde,Agatonde,,,"/NLsvt0iBEyq/qtB5YKGpetQ/HZHCFHVBgWS/OsaAFs0ViYE/NTuHnCVYEv4/AFj1Mf7s49F",2023-01-01T00:00:00.000,,,,,,,,,,,,AFj1Mf7s49F,,,,
2023-12-29T14:54:29.815,,,,,,,,,,6,2023-12-29T14:54:29.749,Agatonero,Agatonero,,,"/NLsvt0iBEyq/qtB5YKGpetQ/HZHCFHVBgWS/JIgSHzfDRcz/g1gXPcZx9Qw/L0Ncd8RED8R",2023-01-01T00:00:00.000,,,,,,,,,,,,L0Ncd8RED8R,,,,
2023-12-29T13:28:08.674,,,,,,,,,,6,2023-12-29T13:28:08.652,Agatongati,Agatongati,,,"/NLsvt0iBEyq/d3sGVyQqwe5/gfLUf85yY51/maNDqZ17yOj/lyoAfqsqvfC/fj920wJeCwK",2023-01-01T00:00:00.000,,,,,,,,,,,,fj920wJeCwK,,,,
2023-12-29T13:29:07.774,,,,,,,,,,6,2023-12-29T13:29:07.754,Agatovu,Agatovu,,,"/NLsvt0iBEyq/d3sGVyQqwe5/gfLUf85yY51/qLqMdaBK6Zg/bJKFxW0u066/T7bkES2iG8P",2023-01-01T00:00:00.000,,,,,,,,,,,,T7bkES2iG8P,,,,
2023-12-29T13:18:10.168,,,,,,,,,,6,2023-12-29T13:18:10.143,Agatwa,Agatwa,,,"/NLsvt0iBEyq/I7LUEXlue90/zeO6GcBuYRF/zUhvPPcD7O2/FjWqwKHXilx/Frn1VTKgR6K",2023-01-01T00:00:00.000,,,,,,,,,,,,Frn1VTKgR6K,,,,
2023-12-29T13:22:22.881,,,,,,,,,,6,2023-12-29T13:22:22.858,Ahitegeye,Ahitegeye,,,"/NLsvt0iBEyq/I7LUEXlue90/Elcqno9VUjB/ZuFK6j1fDcr/m73UScHqKLX/w5ZKKkmPZmu",2023-01-01T00:00:00.000,,,,,,,,,,,,w5ZKKkmPZmu,,,,
2023-12-29T14:43:24.917,,,,,,,,,,6,2023-12-29T14:43:24.855,Akababito,Akababito,,,"/NLsvt0iBEyq/I7LUEXlue90/zeO6GcBuYRF/YMgV4MZ7irv/m4ITQkyEBvP/bcAtFZ9nf22",2023-01-01T00:00:00.000,,,,,,,,,,,,bcAtFZ9nf22,,,,
2023-12-29T13:22:38.329,,,,,,,,,,6,2023-12-29T13:22:38.307,Akababyeyi,Akababyeyi,,,"/NLsvt0iBEyq/I7LUEXlue90/Elcqno9VUjB/JjH5jPbt2jf/ro8v9gffpFN/lYCJKvJK0zR",2023-01-01T00:00:00.000,,,,,,,,,,,,lYCJKvJK0zR,,,,
2023-12-29T13:34:11.664,,,,,,,,,,6,2023-12-29T13:34:11.639,Akabacura,Akabacura,,,"/NLsvt0iBEyq/d3sGVyQqwe5/n468PYJ6g8u/YkJQ9xLX4GG/B7We0TDKByl/mSBVKSIEC0s",2023-01-01T00:00:00.000,,,,,,,,,,,,mSBVKSIEC0s,,,,
2023-12-29T13:28:16.369,,,,,,,,,,6,2023-12-29T13:28:16.343,Akabacuzi,Akabacuzi,,,"/NLsvt0iBEyq/d3sGVyQqwe5/gfLUf85yY51/QyuZnJE2zSz/Ig2GfcLfRpo/hEx4CNWBIYg",2023-01-01T00:00:00.000,,,,,,,,,,,,hEx4CNWBIYg,,,,
2023-12-29T13:27:53.527,,,,,,,,,,6,2023-12-29T13:27:53.510,Akabagagi,Akabagagi,,,"/NLsvt0iBEyq/d3sGVyQqwe5/gfLUf85yY51/bJ1UYLFPCox/domHd2qS2Is/PL6Osq4cXCT",2023-01-01T00:00:00.000,,,,,,,,,,,,PL6Osq4cXCT,,,,
2023-12-29T14:40:44.041,,,,,,,,,,6,2023-12-29T14:40:43.978,Akabagendo,Akabagendo,,,"/NLsvt0iBEyq/qtB5YKGpetQ/eyq3Niz72Ls/mxhqXgrLYBG/qXmPj9bxDLZ/LVTEVatSsGG",2023-01-01T00:00:00.000,,,,,,,,,,,,LVTEVatSsGG,,,,
